epoch,accuracy,jaccard_coef,loss,val_accuracy,val_jaccard_coef,val_loss
0,0.6659938097000122,0.4508967399597168,0.5820176005363464,0.6519094705581665,0.4636527895927429,0.6053560376167297
1,0.7287086248397827,0.5222598314285278,0.4905723035335541,0.6634294986724854,0.4640309810638428,0.6183717846870422
2,0.7626813650131226,0.5662983655929565,0.4368789792060852,0.7145100235939026,0.5105252265930176,0.5350531935691833
3,0.7838021516799927,0.5965706706047058,0.4016369879245758,0.7316616773605347,0.5370440483093262,0.4987441897392273
4,0.7970253825187683,0.6157762408256531,0.37871262431144714,0.747352659702301,0.5558322072029114,0.4731425940990448
5,0.804588794708252,0.6277647018432617,0.36529111862182617,0.7675801515579224,0.5789325833320618,0.44084489345550537
6,0.8109875917434692,0.6375618577003479,0.3545885980129242,0.7955515384674072,0.6108423471450806,0.39080262184143066
7,0.817963182926178,0.6478243470191956,0.34140145778656006,0.8031538128852844,0.627902090549469,0.3758035898208618
8,0.8258510231971741,0.6592819690704346,0.32868489623069763,0.8052717447280884,0.6351979970932007,0.372342050075531
9,0.8291547298431396,0.6645185351371765,0.3226093649864197,0.8062024712562561,0.6349087357521057,0.3695105016231537
10,0.8327657580375671,0.670635461807251,0.31568148732185364,0.8191764950752258,0.6441031098365784,0.3467347323894501
11,0.8372934460639954,0.6773427128791809,0.3081195652484894,0.8198061585426331,0.6382713913917542,0.34617307782173157
12,0.8401233553886414,0.6822600960731506,0.3021860718727112,0.8161373734474182,0.6319630742073059,0.3547026515007019
13,0.8424009680747986,0.6860407590866089,0.29740655422210693,0.8174030780792236,0.635871171951294,0.34913650155067444
14,0.8422423005104065,0.6857715845108032,0.2986654043197632,0.8226116895675659,0.637836754322052,0.34490570425987244
15,0.8461700677871704,0.692406177520752,0.2901880443096161,0.814396321773529,0.6342746019363403,0.3545990288257599
16,0.8471874594688416,0.6942744851112366,0.2879873514175415,0.8142585754394531,0.6335045695304871,0.35455384850502014
17,0.8487708568572998,0.6970963478088379,0.28463634848594666,0.8244107961654663,0.6458114981651306,0.33912938833236694
18,0.8498942852020264,0.6985644698143005,0.2827439308166504,0.8251521587371826,0.6421440839767456,0.33789482712745667
19,0.8456475734710693,0.6917387843132019,0.2910313308238983,0.8284698128700256,0.660393476486206,0.3282489776611328
20,0.8533803224563599,0.7047271132469177,0.27586832642555237,0.8326869606971741,0.6708360910415649,0.32191938161849976
21,0.8535780310630798,0.7050619721412659,0.2750244736671448,0.8301722407341003,0.6706985831260681,0.3266301453113556
22,0.8551191687583923,0.7077739834785461,0.27173179388046265,0.8264688849449158,0.6680511236190796,0.33386749029159546
23,0.8563551902770996,0.7098093032836914,0.26950496435165405,0.8291769027709961,0.6686848998069763,0.32745298743247986
24,0.852783203125,0.704135537147522,0.27615493535995483,0.8326408863067627,0.6825118064880371,0.32308799028396606
25,0.859135627746582,0.714625895023346,0.2643161416053772,0.8350801467895508,0.6864558458328247,0.3188592493534088
26,0.8598824143409729,0.7156872153282166,0.26262035965919495,0.8308329582214355,0.6795147657394409,0.32480528950691223
27,0.8605074286460876,0.7170792818069458,0.2615789771080017,0.8348966836929321,0.6841769218444824,0.31967470049858093
28,0.8603550791740417,0.716793417930603,0.2613794207572937,0.8369455933570862,0.6896340250968933,0.31474071741104126
29,0.8622698783874512,0.7198594808578491,0.25804275274276733,0.8343511819839478,0.6867030262947083,0.32089605927467346
30,0.8628751635551453,0.7208924889564514,0.25719931721687317,0.8364100456237793,0.6931571364402771,0.3197929859161377
31,0.8635121583938599,0.7221578359603882,0.25612831115722656,0.8362917900085449,0.6897189617156982,0.3188096582889557
32,0.8651325106620789,0.7247068285942078,0.2530755400657654,0.8287605047225952,0.6797792315483093,0.33134740591049194
33,0.8639152646064758,0.7227135300636292,0.2558031976222992,0.8366815447807312,0.6906232833862305,0.3179309070110321
